0	1
عیار طلا	Gold karat
تفاوت کمک هزینه با مستمری	difference between allowance and pension
مشخصات مورد اجاره	Specifications of the lease object
شرایط تسلیم عین مستاجره	conditions for the handover of the lease object
واحد وظیفه عمومی نیروی انتظامی	Public conscription organisation of the Islamic Republic of Iran's law enforcement force (NAJA)
لایه اشکی	tear film layer
کولارت	Collarettes
برجستگی دهانه غدد مشاهده می‌شود	The inflammation of gland's opening is seen.
کارت معافیت از خدمت دوره ضرورت	Active-duty [Military] Service Exemption Card
فلیکتن ملتحمه	Phlyctenular Conjunctivitis
مسئول اداره	office manager
محل تنظیم سند]: شهرستان شمیرانات، بخش لواسانات، شهر تجریش]	Place of issue: County: Shemiranat, District: Lavasanat, City: Tajrish
رای غيابی دادگاه	default judgment
تعرفه حق الوکاله وکیل	allowable attorney’s fees
هزینه دادرسی	all legal expenses; litigation expenses
محکوم به پرداخت جزای نقدی	sentenced to pay fine
قانون ثبت اسناد و املاک کشور	the registration of deeds and property law
محاکم محترم	honourable courts
ابلاغ رای دادگاه	delivering this judgment in writing
مطالبه خسارت دادرسی	claiming for all legal expenses; claiming for litigation expenses
مصدق اسناد و مدارک	the certified copies of deeds and documents
شعبه دوم ناحيه ۱۲ دادسرای عمومی و انقلاب تهران	Public prosecutor's office division two in district 12, Tehran public and revolutionary court
دادياری	Office of the assistant to the public prosecutor
گواهی انحصار وراثت	certificate of inheritance exclusivity; certificate of inheritance
مورد وكالت (زمین)	subject-matter of the POA; subject-matter of the power of attorney
وکیل و موکل	attorney and client
مورد معامله (زمین)	property under the deal; subject matter of the transaction (land)
مبايعه نامه	Purchase and Sale Agreement (PSA)
دادرسی	judgment; proceedings
دادخواست	Statement of Claim
دادسرای ناحيه ۲۵ تهران	Tehran Court District 25; Tehran (Public) Prosecutor's Office, District 25
دادستان عمومی وانقلاب تهران	prosecutor for the public and revolutionary courts of Tehran
خواهان و خوانده (اصحاب دعوی)	plaintiff and defendant
شعبه ۱۱۰ دادگاه عمومی حقوقی	Division 110 of the Public Court of Law
